#Frame                                               Vec_00002
     159  55.1032 -56.9360  -4.6113  61.5878 109.4865  68.2130
     160  55.1334 -57.8775  -5.0497  61.1649 109.5666  68.1447
     161  54.7071 -57.8732  -4.2333  62.1973 109.9601  68.2628
     162  55.0019 -57.4651  -6.2184  61.7304 109.6856  69.2904
     163  54.1721 -57.8454  -6.2224  62.4394 109.8172  69.1839
     164  52.9523 -58.0012  -4.9496  62.2981 110.1491  68.5261
     165  53.9530 -58.0973  -5.8471  62.0257 109.8783  68.9542
     166  53.5099 -57.8973  -4.5220  61.8743 110.3190  68.8560
     167  54.2300 -57.9345  -5.2410  61.9473 110.2918  68.8478
     168  54.7443 -59.2045  -4.0131  60.9560 110.9620  67.3945
     169  54.9976 -57.9355  -3.2777  60.7341 110.5966  66.4155
     170  53.9271 -58.3826  -3.0942  61.7775 110.5109  66.9994
     171  54.5922 -59.3499  -3.0866  61.0678 111.0447  66.8430
     172  55.1412 -60.1260  -4.1917  60.7878 111.2881  66.5260
     173  55.2944 -57.9834  -4.1682  60.8721 110.4431  66.3663
     174  54.9831 -58.8963  -3.4834  60.8435 110.8622  66.4182
     175  54.4144 -58.6004  -3.1378  60.7058 111.0078  66.9149
     176  55.1457 -58.5920  -3.2841  60.4351 111.2947  66.8733
     177  54.8464 -59.5734  -3.4781  61.4928 111.7043  67.1106
     178  55.4241 -59.2761  -2.7928  61.2282 111.3618  66.8575
     179  55.6982 -59.7505  -3.3566  60.7879 111.6608  66.7102
     180  55.3026 -59.7349  -3.0731  61.2188 111.6704  66.2261
     181  55.2324 -60.3382  -2.6244  61.0827 112.4035  65.6408
     182  54.8598 -59.2701  -2.3043  60.8870 111.6124  66.3782
     183  54.8105 -59.7713  -2.5509  60.9697 111.9232  66.2921
     184  54.5378 -58.9817  -1.7291  61.2818 111.1018  65.6388
     185  54.2907 -58.4483  -2.6096  61.1715 111.5887  66.3170
     186  53.7436 -57.2171  -1.6717  61.4330 110.6972  66.9685
     187  53.7413 -58.5514  -2.5759  61.6757 111.4424  65.7821
     188  54.2337 -59.7077  -2.3938  61.4800 112.1455  66.0683
     189  55.2559 -58.5526  -3.5441  60.8054 111.3510  66.8908
     190  54.9921 -59.0206  -2.3849  60.4836 111.7385  66.4922
     191  55.4208 -58.3308  -3.2841  60.6632 111.5469  66.5551
     192  55.2396 -59.0673  -3.4566  60.2842 111.8489  66.2721
     193  54.5259 -57.7018  -2.6062  60.9158 111.2813  65.7396
     194  54.7899 -57.1682  -3.0212  60.7440 110.9309  66.2407
     195  55.6152 -58.0924  -2.0513  60.0411 111.9416  65.5671
     196  57.1140 -58.7086  -2.2984  58.8314 111.7176  66.5785
     197  57.3481 -56.7582  -2.3951  58.7910 110.5231  66.1833
     198  56.9238 -57.3814  -2.4915  59.0205 111.0490  66.7333
     199  56.4953 -57.1950  -2.5500  59.5177 110.9790  65.8045
     200  55.3976 -57.8624  -2.9904  60.1815 111.4212  66.1077
     201  55.2818 -56.9056  -2.2656  60.1447 110.6620  66.2814
     202  53.7461 -57.8398  -2.7611  61.0002 111.2275  67.0062
